,X
179,-13.436926600467771
180,-13.508198649335483
181,-13.572255910163193
182,-13.630546205243789
183,-13.686792165494836
184,-13.749143464938172
185,-13.810984813185414
186,-13.850449745696551
187,-13.882484840685208
188,-13.919538694064897
189,-13.9569559500421
190,-13.994746559068503
191,-14.040523830589478
192,-14.086275315802013
193,-14.13322819245326
194,-14.17886771603655
195,-14.233140000837523
196,-14.284540683969695
197,-14.329861111421394
198,-14.40193999130878
199,-14.495004925927915
200,-14.577144659692422
201,-14.651705588964262
202,-14.710172835577211
203,-14.75680623680941
204,-14.805478427337604
205,-14.869610131049782
206,-14.9687376078802
207,-15.089203634259306
208,-15.228552726046473
209,-15.378639615050929
210,-15.527430798041607
211,-15.671286683520378
212,-15.808362623943495
213,-15.941250375981923
214,-16.061421733585306
215,-16.180969216013665
216,-16.301799013839045
217,-16.436703321359758
218,-16.586964772946345
219,-16.73727385625871
220,-16.860345568434283
221,-16.95829897185736
222,-17.029384472007294
223,-17.077735586903785
224,-17.122100475661966
225,-17.17172746383342
226,-17.231354231299463
227,-17.298298274548543
228,-17.357982517862453
229,-17.405432723660283
230,-17.44861454198515
231,-17.472156500658272
232,-17.484955082882934
233,-17.495835737180585
234,-17.517373400853742
235,-17.55716497134756
236,-17.612741385500925
237,-17.63476049301876
238,-17.649549179441905
239,-17.67388811295558
240,-17.701525907383754
241,-17.739729642875275
242,-17.782073559789936
243,-17.816183882352078
244,-17.82997761540082
245,-17.845597247270575
246,-17.850446796563475
247,-17.84091881465737
248,-17.8378733416818
249,-17.842028499891825
250,-17.830692018150785
251,-17.807900807782758
252,-17.786444538774816
253,-17.775065960577365
254,-17.765461621625107
255,-17.749096936442513
256,-17.72740529228109
257,-17.695308073144503
258,-17.654977008391285
259,-17.60940318977204
260,-17.56448499417725
261,-17.52651967267107
262,-17.478223162704325
263,-17.425619908379673
264,-17.361720275867853
265,-17.305517439546904
266,-17.25712076280047
267,-17.219179798950037
268,-17.193259487036542
269,-17.186910941529717
270,-17.18885286924359
271,-17.197426157855517
272,-17.219460127308267
273,-17.257064933667266
274,-17.327370461689497
275,-17.417042782463255
276,-17.515152025723182
277,-17.611613128898483
278,-17.726897450420864
279,-17.861980188680178
280,-18.00779308597572
281,-18.15843944014614
282,-18.319017888284606
283,-18.465703492786957
284,-18.604086755030096
285,-18.752920723954247
286,-18.916985794016398
287,-19.087495400420195
288,-19.250612587133162
289,-19.41906046150619
290,-19.579395537319172
291,-19.75323571916475
292,-19.931395154150024
293,-20.12758411487968
294,-20.304490295586206
295,-20.46568009945885
296,-20.613626700757678
297,-20.771696206500096
298,-20.93171777549847
299,-21.101861572776414
300,-21.27321310227002
301,-21.44547163370821
302,-21.61657998538297
303,-21.773081195408082
304,-21.940929933092946
305,-22.077571049710002
306,-22.196291890012603
307,-22.303601223479674
308,-22.40160029324059
309,-22.468226431274616
310,-22.528966954682332
311,-22.590678262903822
312,-22.65615436123585
313,-22.73812704691366
314,-22.81199869758568
315,-22.88464946763807
316,-22.96723534977872
317,-23.037760101214502
318,-23.11117242599711
319,-23.176888443930565
320,-23.252835236551803
321,-23.30744475563094
322,-23.362448232755042
323,-23.40350217391172
324,-23.443298806082737
325,-23.455532325034397
326,-23.475968605672833
327,-23.498433184810935
328,-23.51573146626427
329,-23.509481870773172
330,-23.48913703439787
331,-23.454788516285902
332,-23.380316184363593
333,-23.25616753815659
334,-23.090261260225105
335,-22.929781627896602
336,-22.74296486277116
337,-22.626031222316016
338,-22.517947336098757
339,-22.462036275342797
340,-22.459095779435643
341,-22.48110191413714
342,-22.504689780525126
343,-22.419377814442257
344,-22.232423128538898
345,-21.966557406209205
346,-21.583757549519973
347,-21.411967668904836
348,-21.532840406025244
349,-21.788451511601494
350,-22.135906219762134
351,-22.59126734722058
352,-23.14794458960938
353,-23.80232123712402
354,-24.6330210945289
355,-25.606943329406548
356,-26.665784800559635
357,-27.71873995918034
358,-28.806852059219494
359,-29.925803630023296
360,-31.057968033040865
361,-32.2195456391003
362,-33.32733515405205
363,-34.36226271214471
364,-35.36948607843489
365,-36.3453541070194
366,-37.284401616442636
367,-38.192791775129216
368,-39.01426828889443
369,-39.68655197645944
370,-40.28284483743649
371,-40.807414237939774
372,-41.27481443041743
373,-41.66053287573571
374,-41.95871698305733
375,-42.1776328806102
376,-42.305388541388176
377,-42.383319672875494
378,-42.40483677016995
379,-42.36799278923114
380,-42.292733650817055
381,-42.18529599631737
382,-42.04817196390832
383,-41.88189191511538
384,-41.655938573267775
385,-41.39936992053945
386,-41.10998689114298
387,-40.789910580862404
388,-40.4270574893486
389,-39.98992394656907
390,-39.56911839742855
391,-39.172709807459704
392,-38.708408533950895
393,-38.1567960204559
394,-37.53405895534026
395,-36.89017407912269
396,-36.24317474613051
397,-35.609749483819186
398,-34.97386046709988
399,-34.291072008838555
400,-33.56229694053272
401,-32.83461555593037
402,-32.07971991311021
403,-31.13386769101521
404,-30.09350809504099
405,-29.125780531422848
406,-28.213747249600402
407,-27.331920245135493
408,-26.595054177011406
409,-26.078498211118983
410,-25.83628755969366
411,-25.638668966956814
412,-25.310673834528373
413,-24.928958609743447
414,-24.464773469202555
415,-23.967276767393273
416,-23.507038751540875
417,-23.163501694952217
418,-22.89058934624478
419,-22.716179881235774
420,-22.623815661031358
421,-22.57650097961961
422,-22.504406809383454
423,-22.324220370187163
424,-22.111263993540987
425,-21.89160488815901
426,-21.69281889399383
427,-21.503481653851864
428,-21.327961501567557
