,X,Y,Z
374,-1.76398,4.20438,-6.60474
375,-1.75601,4.20355,-6.60172
376,-1.74741,4.2027,-6.59846
377,-1.73819,4.20182,-6.59498
378,-1.72838,4.20091,-6.59127
379,-1.71797,4.19998,-6.58734
380,-1.70699,4.19903,-6.5832
381,-1.69547,4.19808,-6.57886
382,-1.68344,4.19712,-6.57434
383,-1.67094,4.19616,-6.56966
384,-1.658,4.1952,-6.56482
385,-1.64468,4.19426,-6.55989
386,-1.63101,4.19332,-6.55485
387,-1.61706,4.19243,-6.54974
388,-1.60289,4.19154,-6.54462
389,-1.58853,4.19071,-6.5395
390,-1.57407,4.18989,-6.5344
391,-1.55956,4.18913,-6.52938
392,-1.54506,4.18843,-6.52444
393,-1.53063,4.18777,-6.51964
394,-1.51633,4.18718,-6.51497
395,-1.5022,4.18665,-6.51048
396,-1.4883,4.1862,-6.50616
397,-1.47468,4.18582,-6.50203
398,-1.46138,4.18551,-6.49812
399,-1.44845,4.18527,-6.49442
400,-1.43589,4.18512,-6.49091
401,-1.42374,4.18505,-6.4876
402,-1.41202,4.18504,-6.4845
403,-1.40074,4.18512,-6.48157
404,-1.38989,4.18527,-6.4788
405,-1.37949,4.18547,-6.47619
406,-1.36951,4.18574,-6.47369
407,-1.35993,4.18607,-6.4713
408,-1.35075,4.18643,-6.46898
409,-1.34194,4.18685,-6.46674
410,-1.33345,4.18728,-6.46449
411,-1.32526,4.18772,-6.46229
412,-1.31732,4.18817,-6.46007
413,-1.30958,4.18861,-6.45782
414,-1.30201,4.18903,-6.45553
415,-1.29455,4.18941,-6.45316
416,-1.28716,4.18974,-6.4507
417,-1.27976,4.19,-6.44817
418,-1.27234,4.19019,-6.44554
419,-1.2648,4.19028,-6.44278
420,-1.25712,4.19026,-6.43987
421,-1.24925,4.19012,-6.43683
422,-1.24112,4.18986,-6.43362
423,-1.2327,4.18946,-6.43023
424,-1.22394,4.1889,-6.42668
425,-1.21481,4.1882,-6.42291
426,-1.20525,4.18734,-6.41894
427,-1.19523,4.18632,-6.41474
428,-1.18474,4.18515,-6.4103
429,-1.17371,4.18382,-6.40561
430,-1.16212,4.18233,-6.40067
431,-1.14996,4.18069,-6.39544
432,-1.13718,4.17891,-6.38993
433,-1.12377,4.177,-6.38412
434,-1.10968,4.17495,-6.378
435,-1.09492,4.17279,-6.37158
436,-1.07944,4.17053,-6.36484
437,-1.06323,4.16819,-6.35777
438,-1.04626,4.16575,-6.35038
439,-1.02851,4.16327,-6.34264
440,-1.00997,4.16074,-6.3346
441,-0.990602,4.15816,-6.32622
442,-0.970389,4.15556,-6.3175
443,-0.949308,4.15296,-6.30847
444,-0.927353,4.15036,-6.29913
445,-0.904477,4.14778,-6.28945
446,-0.880667,4.14522,-6.27944
447,-0.855907,4.1427,-6.26912
448,-0.830169,4.14021,-6.25847
449,-0.803417,4.13778,-6.24751
450,-0.77564,4.13538,-6.23621
451,-0.746814,4.13305,-6.22456
452,-0.716904,4.13076,-6.21255
453,-0.685896,4.12852,-6.20019
454,-0.653757,4.12632,-6.18741
455,-0.620463,4.12415,-6.17422
456,-0.585985,4.122,-6.16061
457,-0.550296,4.11987,-6.14655
458,-0.513364,4.11774,-6.13199
459,-0.475157,4.11559,-6.11695
460,-0.435629,4.11343,-6.10137
461,-0.394741,4.11123,-6.08523
462,-0.352464,4.10897,-6.06852
463,-0.308737,4.10665,-6.0512
464,-0.263512,4.10425,-6.03327
465,-0.216717,4.10176,-6.01467
466,-0.168301,4.09918,-5.9954
467,-0.118195,4.09647,-5.97542
468,-0.0663092,4.09367,-5.95473
469,-0.0125538,4.09074,-5.93327
470,0.0431525,4.08768,-5.91105
471,0.100903,4.08452,-5.88801
472,0.160832,4.08125,-5.86414
473,0.223025,4.07788,-5.83942
474,0.287623,4.0744,-5.81383
475,0.354739,4.07086,-5.78732
476,0.424533,4.06726,-5.7599
477,0.497112,4.06363,-5.73154
478,0.572642,4.05998,-5.70224
479,0.651272,4.05636,-5.67196
480,0.733146,4.05281,-5.64072
481,0.818425,4.04934,-5.6085
482,0.907272,4.04602,-5.57532
483,0.999827,4.04288,-5.54116
484,1.09625,4.03995,-5.50604
485,1.19671,4.0373,-5.46997
486,1.30135,4.03496,-5.43297
487,1.41032,4.03299,-5.39503
488,1.52375,4.03143,-5.3562
489,1.64179,4.03031,-5.31643
490,1.76456,4.02969,-5.27576
491,1.89218,4.0296,-5.23424
492,2.02476,4.03007,-5.19181
493,2.16238,4.03113,-5.1485
494,2.30514,4.03281,-5.10431
495,2.4531,4.03512,-5.05919
496,2.6063,4.03808,-5.01315
497,2.76478,4.0417,-4.96617
498,2.92856,4.04596,-4.9182
499,3.09764,4.05086,-4.86921
500,3.272,4.0564,-4.81915
501,3.4516,4.06253,-4.76796
502,3.63636,4.06925,-4.7156
503,3.82622,4.0765,-4.662
504,4.02109,4.08427,-4.60711
505,4.22082,4.09248,-4.55083
506,4.42528,4.10111,-4.4931
507,4.63431,4.11008,-4.43383
508,4.84774,4.11936,-4.37296
509,5.06536,4.12889,-4.31043
510,5.28696,4.13857,-4.2461
511,5.51231,4.14837,-4.17996
512,5.74114,4.15823,-4.11186
513,5.97322,4.16808,-4.04176
514,6.20823,4.17784,-3.96961
515,6.44587,4.18747,-3.89528
516,6.68585,4.19689,-3.81876
517,6.92781,4.20606,-3.73996
518,7.17141,4.21492,-3.65883
519,7.4163,4.22341,-3.57534
520,7.66207,4.23148,-3.48948
521,7.90834,4.2391,-3.40123
522,8.15472,4.24622,-3.31059
523,8.40077,4.25281,-3.21758
524,8.64608,4.25884,-3.12224
525,8.89023,4.2643,-3.02465
526,9.13278,4.26917,-2.9249
527,9.37332,4.27344,-2.82311
528,9.61139,4.27715,-2.71938
529,9.8466,4.28026,-2.61388
530,10.0785,4.28283,-2.5068
531,10.3068,4.28489,-2.39834
532,10.531,4.28647,-2.28869
533,10.7509,4.28762,-2.17814
534,10.966,4.28839,-2.06688
535,11.1761,4.28884,-1.95524
536,11.381,4.28904,-1.84341
537,11.5803,4.28904,-1.73173
538,11.774,4.28894,-1.62043
539,11.9618,4.2888,-1.50982
540,12.1437,4.2887,-1.40015
