,X
115,33.43752473855245
116,33.1160185580292
117,32.825833464528124
118,32.61607104923217
119,32.389133144332035
120,32.14243756154156
121,31.89780220038238
122,31.604687005766237
123,31.203577330992474
124,30.701532885701653
125,30.182289679562146
126,29.86868648890143
127,29.506797605760497
128,29.2425431909181
129,28.98014860417119
130,28.74363462338613
131,28.502737128810836
132,28.172162263076146
133,27.754743259484272
134,27.24169016372619
135,26.73692854384913
136,26.209632270907804
137,25.64686114033057
138,25.312614049329866
139,25.018285927400626
140,24.847435484213307
141,24.66912606320686
142,24.515551417208712
143,24.356689216967283
144,24.41864735786018
145,24.733792559787304
146,24.970734538934096
147,25.323506363918867
148,25.493625868969787
149,25.4752683873739
150,25.109567589334773
151,23.780944186436628
152,21.855671827937286
153,20.27781580080149
154,19.50959554146057
155,19.599338822590894
156,19.68167739236341
157,20.000203793357414
158,20.212336578512378
159,20.313447704827112
160,20.274065169798007
161,20.077659977708322
162,19.967745363906488
163,19.79718613401468
164,19.638076697883477
165,19.566347669058416
166,19.483365013748013
167,19.231500417192365
168,18.9590122805663
169,18.650599937766714
170,17.393636268071845
171,15.418441830888526
172,13.680019120372236
173,11.727173916956247
174,9.693965183831452
175,8.400381262491436
176,8.665049352829428
177,10.015627194937494
178,10.938785705955155
179,11.898503810472945
180,12.450164214757336
181,12.884020095235783
182,13.053719266672587
183,13.178181469701471
184,13.22678449249446
185,13.220195660289065
186,13.210137215122202
187,13.27205928192626
188,13.350348423167077
189,13.368595128390865
190,13.329376449679017
191,13.259307850582715
192,13.210851138653823
193,13.218646025653214
194,13.275959005999027
195,13.41724082340194
196,13.623051551261781
197,13.891815954056696
198,14.1665619581959
199,14.394960590208044
200,14.588079277109856
201,14.782062935704559
202,14.996173302197548
203,15.221415073011727
204,15.452141085571313
205,15.70883931974754
206,15.910863670619861
207,16.08180646199655
208,16.246078295224393
209,16.357038547249985
210,16.386544205933333
211,16.409953363951587
212,16.4083391139212
213,16.375026805266373
214,16.2777086958139
215,16.16878102688858
216,16.039461719986022
217,15.879346065816378
218,15.730152594068812
219,15.63803634701108
220,15.540523684298222
221,15.466746944154082
222,15.368981210643966
223,15.239287896688893
224,15.064639647548645
225,14.873986517983127
226,14.699104899991099
227,14.510987458538125
228,14.32179835200317
229,14.088555332430914
230,13.822717014040009
231,13.56221829711913
232,13.313673798953488
233,13.164789306352091
234,13.12683454899863
235,12.976096517422107
236,12.841934718666138
237,12.668560989569926
238,12.37539719345203
239,11.997094953091434
240,11.559941166673568
241,11.12178770829243
242,10.713884362764105
243,10.298176258961476
244,9.930721981036555
245,9.550984401467971
246,9.167544755561337
247,8.730228644758995
248,8.262605371890416
249,8.108531892368518
250,8.154437558083202
251,7.981767863089601
252,7.7583637670202705
253,7.73764697030721
254,7.686130935887576
255,7.440177976078203
256,7.1954908056397215
257,6.96160650693345
258,6.606479877215193
259,6.295142142631676
260,6.048322960598611
261,6.06107914713435
262,5.881443095432118
263,5.476378541324365
264,5.153847385544566
265,4.879079101904097
266,4.707941947516787
267,4.574941013123166
