,X,Y,Z
575,41.7462,8.099,11.5635
576,42.4616,8.10371,11.7289
577,43.1751,8.10254,11.9041
578,43.8872,8.09468,12.091
579,44.5984,8.07932,12.2908
580,45.3089,8.05599,12.5044
581,46.019,8.02437,12.7316
582,46.7285,7.98439,12.9716
583,47.4377,7.93618,13.2232
584,48.1462,7.88014,13.4843
585,48.854,7.81674,13.7524
586,49.5609,7.74667,14.0249
587,50.2666,7.67064,14.2983
588,50.9706,7.58969,14.5694
589,51.6723,7.50465,14.8345
590,52.3711,7.41648,15.0908
591,53.0659,7.32593,15.335
592,53.7558,7.23351,15.5652
593,54.4396,7.13963,15.7794
594,55.1159,7.04434,15.9766
595,55.7832,6.94744,16.1561
596,56.4403,6.84845,16.3181
597,57.0856,6.74665,16.4632
598,57.7179,6.64113,16.5926
599,58.3358,6.53099,16.7081
600,58.9383,6.41518,16.8117
601,59.5243,6.29297,16.9057
602,60.0928,6.16364,16.9923
603,60.6433,6.02679,17.0734
604,61.1748,5.88252,17.151
605,61.6871,5.731,17.2265
606,62.1797,5.5729,17.3011
607,62.6522,5.40928,17.3753
608,63.1043,5.24149,17.4495
609,63.5359,5.0712,17.5233
610,63.9465,4.90037,17.5967
611,64.3363,4.73094,17.6688
612,64.7049,4.5651,17.7389
613,65.052,4.40492,17.8059
614,65.3774,4.25233,17.8688
615,65.6808,4.10898,17.9262
616,65.9617,3.97631,17.977
617,66.2195,3.85533,18.0201
618,66.4536,3.74666,18.0545
619,66.6632,3.65072,18.0795
620,66.8475,3.5674,18.0948
621,67.0057,3.49645,18.1004
622,67.1368,3.43725,18.0969
623,67.2401,3.38886,18.0855
624,67.3151,3.35019,18.0679
625,67.3611,3.32002,18.0464
626,67.3779,3.2969,18.0237
627,67.3655,3.27927,18.0031
628,67.3239,3.26583,17.988
629,67.2534,3.25501,17.9818
630,67.1543,3.24561,17.9877
631,67.0273,3.23659,18.0084
632,66.8727,3.22716,18.0458
633,66.6913,3.21692,18.1006
634,66.4834,3.20582,18.1727
635,66.2497,3.19404,18.2609
636,65.9903,3.18219,18.3628
637,65.7057,3.17102,18.4756
638,65.3959,3.16133,18.5953
639,65.0609,3.15412,18.7177
640,64.7008,3.15017,18.8385
